Id,Name,Description,ProviderBarId,IsAdminApproved
11,Single Malt Whisky,Malt whisky from a single distillery.,,1
12,Single Pot Still Whisky,"A style of Irish whiskey made by a single distillery from a mixed mash of malted and unmalted barley distilled in a pot still. Somewhat similar to single malt whiskey, the style is defined by its inclusion of unmalted raw barley in the mash in addition to malt. However, small amounts of raw oats or wheat may have been used at times.[2] This unmalted component is said to give the pot still whiskey a ""spicier bristle"" and ""thicker texture"" than the otherwise similar malt whiskeys. If the whiskey is not distilled completely on the site of a single distillery, then it may be termed pot still whiskey but not single pot still whiskey.",,1
13,Grain Whisky,"Normally refers to any whisky made, at least in part from grains other than malted barley. Frequently used grains include maize, wheat, and rye. Grain whiskies usually contain some malted barley to provide enzymes needed for mashing and are required to include it if they are produced in Ireland or Scotland.",,1
14,Malt Whisky,Whisky made from a fermented mash consisting of malted barley.,,1
15,Agave,"Maguey is a Spanish word that refers to all of the large-leafed plants in the Asparagaceae family, including agaves and yuccas. Agave is a genus of monocots native to the arid regions of the Americas. The genus is primarily known for its succulent and xerophytic species that typically form large rosettes of strong, fleshy leaves.",,1
16,Tequila,"Made from the blue agave plant, primarily in the area surrounding the city of Tequila 65 km (40 mi) northwest of Guadalajara, and in the Jaliscan Highlands (Los Altos de Jalisco) of the central western Mexican state of Jalisco. Mexican laws state that tequila can be produced only in the state of Jalisco and limited municipalities in the states of Guanajuato, Michoacán, Nayarit, and Tamaulipas.",,1
17,Blanco Tequila,"White spirit, unaged and bottled or stored immediately after distillation, or aged less than two months in stainless steel or neutral oak barrels",,1
18,Reposado Tequila,"Aged a minimum of two months, but less than a year in oak barrels of any size",,1
19,Anejo Tequila,"Aged a minimum of one year, but less than three years in small oak barrels",,1
20,Extra Anejo Tequila,Aged a minimum of three years in oak barrels; this category was established in March 2006.,,1
21,Mezcal,"Made from the heart of the agave/maguey plant, called the piña, in much the same way as it was 200 years ago. In Mexico, mezcal is generally consumed straight and has a strong smoky flavor. The process begins by harvesting the plants, which can weigh 40 kg (88 pounds) each, and extracting the piña by cutting off the plant's leaves and roots. The piñas are then cooked for about three days, often in pit ovens, which are earthen mounds over pits of hot rocks. This underground roasting gives mezcal its intense and distinctive smoky flavor. They are then crushed and mashed (traditionally by a stone wheel turned by a horse) and then left to ferment in large vats or barrels with water added. The mash is allowed to ferment, the resulting liquid collected and distilled in either clay or copper pots which will further modify the flavor of the final product.",,1
22,Sotol,"From the Chihuahuan desert (northern Mexico, western Texas) sourced from the plants of the genus Dasylirion, most commonly: Dasylirion wheeleri, Dasylirion durangense, Dasylirion cedrosanum, and Dasylirion leiophyllum, less commonly with Dasylirion texanum and Dasylirion lucidum (commonly known as Desert Spoon or, in Spanish, sotol, sereque, cucharilla, or palmilla), plants that grow in the Chihuahuan desert of northern Mexico, New Mexico, Arizona, and west and central Texas.",,1
23,Sugarcane,"A species of (often hybrid) tall, perennial grass (in the genus Saccharum, tribe Andropogoneae) that is used for sugar production. The plants are 2–6 m (6–20 ft) tall with stout, jointed, fibrous stalks that are rich in sucrose, which accumulates in the stalk internodes. Grown in tropical and subtropical regions, sugarcane is the world's largest crop by production quantity, totaling 1.9 billion tonnes in 2020, with Brazil accounting for 40% of the world total.",,1
24,Rum,"Made by fermenting and then distilling sugarcane molasses or sugarcane juice. The distillate, a clear liquid, is often aged in barrels of oak. While strongly associated with the Caribbean to this day due to its Barbadian origin, rum is nowadays produced in nearly every major sugar-producing region of the world, such as the Philippines, where Tanduay Distillers, the largest producer of rum worldwide, has its headquarters.",,1
25,Rhum Agricole,"Is the French term for sugarcane juice rum, a style of rum originally distilled in the French Caribbean islands from freshly squeezed sugarcane juice rather than molasses. Rhum is the term that typically distinguishes it in French-speaking locales from the rum made with molasses in other parts of the West Indies (Rum, Ron).",,1
26,Clairin,"Made from sugarcane produced in Haiti, that undergoes the same distillation process as rhum.",,1
27,Spiced Rum,"Obtains its flavors through the addition of spices and, sometimes, caramel. Most are darker in colour, and based on gold rums. Some are significantly darker, while many cheaper brands are made from inexpensive white rums and darkened with caramel colour. Among the spices added are cinnamon, rosemary, absinthe/aniseed, pepper, cloves, and cardamom.",,1
28,Dark Rum,"Know by their particular colour, such as brown, black, or red rums, they are classes a grade darker than gold rums. They are usually made from caramelized sugar or molasses. They are generally aged longer, in heavily charred barrels, giving them much stronger flavors than either light or gold rums, and hints of spices can be detected, along with a strong molasses or caramel overtone. They commonly provide substance in rum drinks, as well as colour. In addition, dark rum is the type most commonly used in cooking. Most dark rums come from areas such as Jamaica, Bahamas, Haiti, and Martinique.",,1
29,Gold Rum,"Also called ""amber"" rums, are medium-bodied rums that are generally aged. These gain their dark colour from aging in wooden barrels (usually the charred, white oak barrels that are the byproduct of Bourbon whiskey). They have more flavor and are stronger tasting than light rum and can be considered midway between light rum and the darker varieties.",,1
30,Light Rum,"Also referred to as ""silver"" or ""white"" rums, in general, have very little flavor aside from a general sweetness. Light rums are sometimes filtered after aging to remove any colour. The majority of light rums come from Puerto Rico. Their milder flavors make them popular for use in mixed drinks, as opposed to drinking them straight.",,1
31,Overproofed Rum,"Are much higher than the standard 40% ABV (80 proof), with many as high as 75% (150 proof) to 80% (160 proof) available. ",,1
32,Cachaca,"Made from fermented sugarcane juice. Also known as pinga, caninha, and other names, it is the most popular spirit among distilled alcoholic beverages in Brazil.",,1
33,White Cachaca,Usually bottled immediately after distillation and tends to be cheaper. Some producers age it for up to 12 months in wooden barrels to achieve a smoother blend. It is often used as an ingredient in caipirinha and other mixed beverages.,,1
34,Dark Cachaca,"Usually seen as the ""premium"" variety, is aged in wood barrels and is meant to be drunk neat. It is usually aged for up to 3 years, though some ultra-premium cachaças have been aged for up to 15 years. Its flavour is influenced by the type of wood the barrel is made from.",,1
35,Pisco,Is a colorless or yellowish-to-amber colored spirit produced in winemaking regions of Peru and Chile. Made by distilling fermented grape juice into a high-proof spirit.,,1
36,Peruvian Pisco,"Must be made in the country's five official D.O. (Denomination of Origin) departments—Lima, Ica, Arequipa, Moquegua and Tacna (only in the valleys of Locumba Locumba, Sama and Caplina)— established in 1991 by the government. In Peru, pisco is produced only using copper pot stills, like single malt Scotch whiskies, rather than continuous stills like most vodkas. Unlike the Chilean variety, Peruvian pisco is never diluted after it is distilled and enters the bottle directly at its distillation strength. The production of a regular Peruvian Pisco bottle requires 8 kilograms of grapes, and a Mosto Verde variety needs 12 kg. Must be aged for a minimum of three months in vessels of ""glass, stainless steel or any other material which does not alter its physical, chemical or organic properties"".",,1
37,Puro Pisco,"A classification of Peruvian Pisco, made from a single variety of grape, mostly Quebranta, although Mollar or Common Black can be used; however, no blending between varieties is accepted (""pure"" pisco should contain only one variety of grape).",,1
38,Aromaticas Pisco,"A classification of Peruvian Pisco,  made from Muscat or Muscat-derived grape varieties, and also from Albilla, Italia and Torontel grape varieties; once again, the pisco should only contain one variety of grape in any production lot.",,1
39,Mosto Verde (Green Must) Pisco,"A classification of Peruvian Pisco. Distilled from partially fermented must, this must be distilled before the fermentation process has completely transformed sugars into alcohol",,1
40,Alcolado Pisco,A classification of Peruvian Pisco. Blended from the must of several varieties of grape.,,1
41,Chilean Pisco,"Chilean pisco must be made in the country's two official D.O. (Denomination of Origin) regions—Atacama and Coquimbo—established in 1931 by the government. Most of it is produced with a ""boutique"" type of distillate. Other types are produced with double distillation in copper and other materials. During the adaptation of many vineyards to pisco production, the most widespread grape was used as raw material, the Muscat, with some vineyards preferring the Torontel and Pedro Jiménez varieties.",,1
42,Pisco Corriente o Tradicional,A classification of Chilean Pisco. 30% to 35% (60 to 70 proof),,1
43,Pisco Especial,A classification of Chilean Pisco. 35% to 40% (70 to 80 proof),,1
44,Pisco Reservado,A classification of Chilean Pisco. 40% (80 proof),,1
45,Gran Pisco,A classification of Chilean Pisco. 43% or more (86 or more proof),,1
46,Vodka,"Clear distilled alcoholic beverage. Different varieties originated in Poland, Russia, and Sweden. Vodka is composed mainly of water and ethanol but sometimes with traces of impurities and flavourings. Traditionally, it is made by distilling liquid from fermented cereal grains, and potatoes since introduced in Europe in the 1700s. Some modern brands use corn, sugar cane, fruits, honey, and maple sap as the base. Since the 1890s, standard vodkas have been 40% alcohol by volume (ABV) (80 U.S. proof). The European Union has established a minimum alcohol content of 37.5% for vodka. Vodka in the United States must have a minimum alcohol content of 40%.",,1
47,Gin,A distilled alcoholic drink flavoured with juniper berries and other botanical ingredients. ,,1
48,Sloe Gin,"A British red liqueur made with gin and blackthorn fruits (sloes), which are the drupe fruit of the Prunus spinosa tree, which is a relative of the plum.[1] As an alcoholic drink, sloe gin contains between 15 per cent and 30 per cent alcohol by volume (ABV); however, European Union regulations established 25 per cent ABV as the minimal alcoholic content for the blackthorn beverage to be a sloe gin. Historically, despite being a liqueur based upon gin, the EU included the colloquial name sloe gin to the legal definitions; thus, sloe gin is the only alcoholic beverage that legally uses the term gin without appending the liqueur suffix.",,1
49,Plymouth Gin,"A style and brand of gin that has been distilled on the same premises on the Barbican in Plymouth, Devon, since 1793. The site of production, the Plymouth Gin Distillery, was built in 1431 and is reputed to have once been a monastery of the Dominican Order, widely known as ""Black Friars"". For this reason, it has traditionally been called the ""Black Friars Distillery"", and this name appears embossed on the gin bottles. The taste profile of the style has been described as ""earthy"", and featuring more citrus notes[3] than the ""London Dry"" gin style, of which Plymouth Gin is considered an offshoot, or subtype.",,1
50,Old Tom Gin,"Prior to the invention of London Dry Gin, Old tom was gin that was sweetened with liquorice and flavored with botanicals to mask poor distillation. Nowadays refers to a style of sweetened gin containing 2-6% sugars by volume otherwise known as a ""cordial"" style of gin.",,1
51,London Dry Gin,"Emerged as a dry refined style of gin, originally only made in London, soon after the 'Coffey' continuous still was invented in 1831, enabling production of highly rectified (nearly pure) spirit. The high distillation strength removed the unpleasant flavors found in earlier gins so the new spirits could be sold unsweetened or ""dry"".",,1
52,Genever Gin,"also known as Hollands, genever, genièvre, peket, or sometimes as Dutch gin (archaic: Holland gin or Geneva gin), is the juniper-flavoured traditional liquor in the Netherlands, Belgium and adjoining areas in northern France and northwestern Germany. As an EU and UK Protected Designation of Origin the use of the term jenever and its soundalikes can only be used if the product is made according to the specifications in Belgium, the Netherlands, two northern French departments and two German federal states. Gin was developed in Britain after introduction of jenever to the island.",,1
53,New Western Dry / New American Gin,"Gin distilled with the legal amount of juniper, but with other flavourful botanicals that ease the profile of the juniper and incorporate more varied taste profiles depending on the botanicals included. Term was coined by Aviation Gin co-founder Ryan Margarin, but has been a style experimented with by other gin distillers prior to Aviations founding.",,1
54,Amaro,"An Italian herbal liqueur that is commonly consumed as an after-dinner digestif. It usually has a bitter-sweet flavour, sometimes syrupy, and has an alcohol content between 16% and 40%. Similar liqueurs have traditionally been produced throughout Europe. There are local varieties in Germany (where they are called Kräuterlikör), Hungary, the Netherlands, and France. But the term amaro is applied only to Italian products of this kind. Amaro is typically produced by macerating herbs, roots, flowers, bark, and/or citrus peels in alcohol, either neutral spirits or wine, mixing the filtrate with sugar syrup, and allowing the mixture to age in casks or bottles.",,1
55,Bitters,"Traditionally an alcoholic preparation flavored with botanical matter for a bitter or bittersweet flavor. Originally, numerous longstanding brands of bitters were developed as patent medicines, but now are sold as digestifs, sometimes with herbal properties, and as cocktail flavorings. Since cocktails often contain sour and sweet flavors, bitters are used to engage another primary taste and thereby balance out the drink and make it more complex, giving it a more complete flavor profile.",,1
56,Liqueur,"An alcoholic drink composed of spirits (often rectified spirit) and additional flavorings such as sugar, fruits, herbs, and spices. Often served with or after dessert, they are typically heavily sweetened and un-aged beyond a resting period during production, when necessary, for their flavors to mingle. Liqueurs are historical descendants of herbal medicines. They were made in France as early as the 13th century, often prepared by monks (for example, Chartreuse). Today they are produced all over the world, commonly served neat, over ice, with coffee, in cocktails, and used in cooking.",,1
57,Cordial,Another word used for liqueur,,1
58,Digestif,"An alcoholic beverage served after a meal, traditionally believed to aid digestion[8] even though there is not strong evidence to support this.[9] When served after a coffee course, it may be called pousse-café. Digestifs are usually taken neat.",,1
59,Aperitif,"An alcoholic beverage usually served before a meal to stimulate the appetite, and is usually dry rather than sweet. Common choices for an apéritif are vermouth; champagne; pastis; gin; ouzo; fino; amontillado or other styles of dry sherry (but not usually cream or oloroso blended sherry, which is very sweet and rich).",,1
60,Brandy,"A liquor produced by distilling wine. Brandy generally contains 35–60% alcohol by volume (70–120 US proof) and is typically consumed as an after-dinner digestif. Some brandies are aged in wooden casks. Others are coloured with caramel colouring to imitate the effect of ageing, and some are produced using a combination of ageing and colouring. Varieties of wine brandy can be found across the winemaking world. Among the most renowned are Cognac and Armagnac from south-western France.

In a broader sense, the term brandy also denotes liquors obtained from the distillation of pomace (yielding pomace brandy), or mash or wine of any other fruit (fruit brandy).[3][1] These products are also called eau de vie (literally ""water of life"" in French).",,1
61,Pomace Brandy,"A liquor distilled from pomace that is left over from winemaking, after the grapes are pressed. It is called marc in both English and French, but ""grappa"" in Italian and ""bagaço"" in Portuguese. In Spanish it is called orujo. Alcohol derived from pomace is also used as the traditional base spirit of other liquors, such as some anise-flavored spirits. Unlike wine brandy, most pomace brandies are neither aged nor coloured.",,1
62,Grappa,"An alcoholic beverage: a fragrant, grape-based pomace brandy of Italian origin that contains 35 to 60 percent alcohol by volume (70 to 120 US proof). Grappa is a protected name in the European Union. Grappa is made by distilling the skins, pulp, seeds and stems (i.e., the pomace) left over from winemaking after pressing the grapes. It was originally made to prevent waste by using these leftovers. A similar drink, known as acquavite d'uva, is made by distilling whole must.",,1
63,Orujo,"A pomace brandy (a liquor obtained from the distillation of marc, the solid remains left after pressing of the grape) from northern Spain. It is a transparent spirit with an alcohol content over 50% (100° proof). Its name comes from the expression ""aguardiente de orujo"" (pomace spirit). It is popular in northern Spain, particularly in Galicia, but also in Asturias, Castile and León and Cantabria (principally in the valley of Liébana). It is also called augardente or aguardiente (""firewater""), and caña. Orujo has become an artisanal craft for some families who after making wine for themselves distill the pomace in a little pot still. Many high-quality distilled spirits have appeared in the last twenty years, including some origin appellations (in Spanish D.O.). These are obtained from quality grapes and produced according to the highest standards and are replacing the traditional homemade liquor, nowadays only available in small villages.",,1
64,Eau de Vie," Meaning 'Water of Life', eau de vie is a clear, colourless fruit brandy that is produced by means of fermentation and double distillation. The fruit flavor is typically very light.",,1
65,Schnapps,"A type of alcoholic beverage that may take several forms, including distilled fruit brandies, Herbal liqueurs, infusions, and ""flavored liqueurs"" made by adding fruit syrups, spices, or artificial flavorings to neutral grain spirits.",,1
66,German Schnaps,"Refers to ""any kind of strong, dry spirit"", similar to how eau de vie (water of life) is used in French, aguardiente (burning water) in Spanish, or aguardente Portuguese.",,1
67,American Schnapps,"An inexpensive, heavily sweetened form of liqueur is made in America by mixing neutral grain spirit with fruit syrup, spices, or other flavors. Referred to as ""schnapps"",[6] these are bottled with an alcohol content typically between 15 and 20% ABV (30–40 proof), though some may be much higher. Schnapps, specifically peach and peppermint schnapps, exploded in popularity in America in the 1980s.",,1
68,Cognac,"A variety of brandy named after the commune of Cognac, France. It is produced in the surrounding wine-growing region in the departments of Charente and Charente-Maritime. Cognac production falls under French appellation d'origine contrôlée (AOC) designation, with production methods and naming required to meet certain legal requirements. Among the specified grapes, Ugni blanc, known locally as Saint-Émilion, is most widely used.[5] The brandy must be twice distilled in copper pot stills and aged at least two years in French oak barrels from Limousin or Tronçais. Cognac matures in the same way as whiskies and wines barrel-age, and most cognacs spend considerably longer ""on the wood"" than the minimum legal requirement.",,1
69,Armagnac,"A distinctive kind of brandy produced in the Armagnac region in Gascony, southwest France. It is distilled from wine usually made from a blend of grapes including Baco 22A, Colombard, Folle blanche and Ugni blanc, traditionally using column stills rather than the pot stills used in the production of cognac, which is made predominantly from ugni blanc grapes. The resulting spirit is then aged in oak barrels before release. Production is overseen by the Institut national de l'origine et de la qualité (INAO) and the Bureau National Interprofessionel de l'Armagnac (BNIA).",,1
70,Vermouth,"An aromatized fortified wine, flavoured with various botanicals (roots, barks, flowers, seeds, herbs, and spices) and sometimes colored. The modern versions of the beverage were first produced in the mid to late 18th century in Turin, Italy. While vermouth was traditionally used for medicinal purposes, it was later served as an apéritif, with fashionable cafés in Turin serving it to guests around the clock. In the late 19th century, it became popular with bartenders as a key ingredient for cocktails, such as the martini, the Manhattan, the Rob Roy, and the Negroni. In addition to being consumed as an aperitif or cocktail ingredient, vermouth is sometimes used as an alternative to white wine in cooking.",,1
71,Fortified Wine,"A wine to which a distilled spirit, usually brandy, has been added. In the course of some centuries, winemakers have developed many different styles of fortified wine, including port, sherry, madeira, Marsala, Commandaria wine, and the aromatised wine vermouth.",,1
72,Dry Vermouth,,,1
73,Sweet Vermouth,,,1
74,Blanc Vermouth,,,1
75,Sherry,"A fortified wine made from white grapes that are grown near the city of Jerez de la Frontera in Andalusia, Spain. Sherry is a drink produced in a variety of styles made primarily from the Palomino grape, ranging from light versions similar to white table wines, such as Manzanilla and fino, to darker and heavier versions that have been allowed to oxidise as they age in barrel, such as Amontillado and oloroso. Sweet dessert wines are also made from Pedro Ximénez or Moscatel grapes, and are sometimes blended with Palomino-based sherries.",,1
76,Solera,"A process for aging liquids such as wine, beer, vinegar, and brandy, by fractional blending in such a way that the finished product is a mixture of ages, with the average age gradually increasing as the process continues over many years. The purpose of this labor-intensive process is the maintenance of a reliable style and quality of the beverage over time.Solera means ""on the ground"" in Spanish, and it refers to the lower level of the set of barrels or other containers used in the process; the liquid is traditionally transferred from barrel to barrel, top to bottom, the oldest mixtures being in the barrel right ""on the ground"". The containers in today's process are not necessarily stacked physically in this way but merely carefully labeled. Products which are often solera aged include Sherry, Madeira, Lillet, Port wine, Marsala, Mavrodafni, Muscat, and Muscadelle wines; Balsamic, Commandaria, some Vins doux naturels, and Sherry vinegars; Brandy de Jerez; beer; rums; and whiskies. Since the origin of this process is the Iberian peninsula, most of the traditional terminology is in Spanish and Portuguese.",,1
77,Wine,"An alcoholic drink made from fermented fruit. Yeast consumes the sugar in the fruits and converts it to ethanol and carbon dioxide, releasing heat in the process. Though wine can be made from a variety of fruit crops such as plum, cherry, pomegranate, blueberry, currant and elderberry, it is most often made from grapes, and the term ""wine"" generally refers to grape wine when used without a qualifier.",,1
78,Red Wine,"Red wine gains its color and flavor (notably, tannins) from the grape skin, by allowing the grapes to soak in the extracted juice. Red wine is made from dark-colored red grape varieties. The actual color of the wine can range from violet, typical of young wines, through red for mature wines, to brown for older red wines. The juice from most red grapes is actually greenish-white; the red color comes from anthocyanins present in the skin of the grape. A notable exception is the family of rare teinturier varieties, which actually have red flesh and produce red juice.",,1
79,White Wine,"To make white wine, grapes are pressed quickly with the juice immediately drained away from the grape skins. The grapes used are typically white grape varieties, though red grapes may be used if the winemaker is careful not to let the skin stain the wort during the separation of the pulp-juice. For example, pinot noir (a red grape) is commonly used in champagne. Dry (low sugar) white wine is the most common, derived from the complete fermentation of the juice, however sweet white wines such as Moscato d'Asti are also made.",,1
80,Orange Wine,"Sometimes called amber wines, these are wines made with white grapes but with the skins allowed to soak during pressing, similar to red and rosé wine production. They are notably tannic, and usually made dry.",,1
81,Rosé Wine,"Gains color from red grape skins, but not enough to qualify it as a red wine. It may be the oldest known type of wine, as it is the most straightforward to make with the skin contact method. The color can range from a pale orange to a vivid near-purple, depending on the varietals used and wine-making techniques. There are three primary ways to produce rosé wine: Skin contact (allowing dark grape skins to stain the wort), saignée (removing juice from the must early in fermentation and continuing fermentation of the juice separately), and blending of a red and white wine (uncommon and discouraged in most wine growing regions). Rosé wines have a wide range of sweetness levels from dry Provençal rosé to sweet White Zinfandels and blushes. Rosé wines are made from a wide variety of grapes all over the world.",,1
82,Sparkling Wine,"Effervescent wines, made in any of the styles (ie, orange, red, rosé, white). They must undergo secondary fermentation to create carbon dioxide, which creates the bubbles. Two common methods of accomplishing this are the traditional method, used for Cava, Champagne, and more expensive sparkling wines, and the Charmat method, used for Prosecco, Asti, and less expensive wines. A hybrid transfer method is also used, yielding intermediate results, and simple addition of carbon dioxide is used in the cheapest of wines. The bottles used for sparkling wine must be thick to withstand the pressure of the gas behind the cork, which can be up to 6 standard atmospheres (88 psi).",,1
83,Pét-Nat,"There are two general approaches employed by winemakers to produce pét-nat, the choice of which is often determined by location and weather conditions during harvest as well as the scale of production and resources on hand in the winery when it comes to bottling. The first is the ""interruption"" method, whereby the primary alcoholic fermentation is interrupted by the act of bottling. The wine goes into bottle, sealed under a crown cap, where the still viable yeast, nutrient and sugar allow the primary fermentation to continue and produce the carbon dioxide that forms the bubbles. Malolactic fermentation may also occur in bottle making a small contribution to the carbon dioxide levels. Unlike the traditional method there is no disgorging and dosage, however producers using the interruption method will often need to remove tartrate crystals and sediment to prevent the wine from gushing when opened as well as to reduce the amount of final sediment to an acceptable level. To accomplish this, the bottles are hand disgorged and topped up with the same wine. The interruption method is often favoured by producers in cooler regions where the fermentation is slower and easier to catch at a specific point and where they have the resources to hand bottle at a specific time and to hand disgorge. The second method is called ""entr'acte"" (intermission) whereby the primary fermentation is completed to dryness, allowing the wine to be naturally cold stabilised and settled, either in an underground cellar or temperature controlled tank. Sweet juice from a second pick of grapes, often from the same vineyard, is then added to the wine, which is then bottled with the fermentation from the second pick juice completing in bottle to produce the bubbles. The advantages of the entr'acte method is that the wine does not need to be disgorged, there is more control over final sediment and pressure levels leading to an avoidance of gushing. The entr'acte method is often favoured in warmer climates where faster ferments are more difficult to control, as well as where producers want to be more precise with final turbidity and pressure levels as well as minimising overall risk. Alternatively, using a method faithful to the origins of ancestral winemaking, the wine is cold-settled before the end of primary fermentation to mimic the natural changing seasons before being bottled and then allowed to warm up again, as it would in the Spring. This process, a traditional variation on the entr'acte practice, is called the ""Overwintering Method,"" and is how the earliest sparkling wines would have come about, although as an intentional method of production it runs the risk of a stuck ferment.",,1
84,Traditional Method,"A double fermentation process used in the Champagne region of France to produce Champagne. It is also the method used in various French regions to produce sparkling wines (not called ""Champagne""), in Spain to produce cava, in Portugal to produce Espumante and in Italy to produce Franciacorta. The method is known as the méthode champenoise, but the Champagne producers have successfully lobbied the European Union to restrict the use of that term within the EU only to wines produced in Champagne. Thus, wines from elsewhere cannot use the term ""méthode champenoise"" on products sold in the EU, and instead the term ""traditional method"" (méthode traditionnelle) or the local language equivalent (método tradicional in Spain and Portugal, metodo classico or metodo tradizionale in Italy, and in Germany klassische Flaschengärung). South African wines from the Western Cape are labelled with the term Methode Cap Classique. Some wine producers in countries outside the EU may disregard EU labeling laws and use méthode champenoise or even ""Champagne"" on labels for products not exported to the EU, but this usage is decreasing.",,1
85,Charmat Method,"Charmat (Italian: Metodo Martinotti) was developed and patented in 1895 by the Italian Federico Martinotti (1860–1924). The method was further developed with a new patent by the inventor Eugène Charmat in 1907. The method is now named after the latter, but is also called cuve close, metodo Italiano or the tank method. The wine is mixed in a stainless steel pressure tank, together with sugar and yeast. Fermentation occurs in a closed system, so CO2 cannot directly escape to the atmosphere and dissolves in wine. When the sugar is converted into alcohol and carbon dioxide, the yeast is filtered and removed, and the wine containing the dissolved CO2 is transferred from the close reactor vessel into bottles. The duration of fermentation affects the quality; longer fermentation preserves the wine's aromas better and gives finer and more durable bubbles.This production method is widely used in the U.S., in Italy, especially in the Asti province, and in Prosecco wines, and in Germany to produce variants of Sekt such as Henkell Trocken. Charmat-method sparkling wines can be produced at a considerably lower cost than traditional method wines.",,1
86,Champagne,"A sparkling wine originated and produced in the Champagne wine region of France under the rules of the appellation, which demand specific vineyard practices, sourcing of grapes exclusively from designated places within it, specific grape-pressing methods and secondary fermentation of the wine in the bottle to cause carbonation. The grapes Pinot noir, Pinot meunier, and Chardonnay are used to produce almost all Champagne, but small amounts of Pinot blanc, Pinot gris (called Fromenteau in Champagne), Arbane, and Petit Meslier are vinified as well.",,1
